開始時間,結束時間,1位昵稱,2位昵稱,3位昵稱,4位昵稱,1位得分,2位得分,3位得分,4位得分,牌譜鏈接
2025.04.23,2025.04.23,幸福的勇气,我爱手抓肉,量子蝈民九折酱,平地摔的saki,58.8,7.3,-15.6,-50.5,250423-d9b694a6-e8d0-44f2-b90d-c28f51bb5d42
2025.04.23,2025.04.23,lotatoJC,这就是郭楠,mr道标,林清雨,54.9,14.3,-19.3,-49.9,250423-9c847bae-0530-4659-8725-8d11aa2ac0c8
2025.04.23,2025.04.23,雨水磁浮2024,kl3000,绫地宁宁nene,失去梦想皮皮虾,52.7,11.8,-18.5,-46.0,250423-93d723cd-f065-45c7-8851-9c6f88b42095
2025.04.23,2025.04.23,南风y,丿破风,小星今天吃什么,席巴拉西,54.9,10.7,-22.8,-42.8,250423-2323c015-2f67-4991-8f29-410a15a8a0d3
2025.04.25,2025.04.25,一只亚亚亚,秀千代EC,小星今天吃什么,把把狗运,57.8,15.0,-23.2,-49.6,250425-8cd232e4-4b59-4fb0-aaef-7900267df626
2025.04.25,2025.04.25,玄赤,我想当理塘高手,烨十七,sengwei,61.4,5.9,-22.5,-44.8,250425-950d4f85-06ba-467a-b8e6-f3b8b2dbbc7c
2025.04.25,2025.04.25,lotatoJC,量子蝈民九折酱,Flamingo_Li,秀千代EC,55.0,6.9,-15.2,-46.7,250425-86a1a853-78d4-43d6-abec-0e6ef8c4f805
2025.04.25,2025.04.25,平地摔的saki,我爱手抓肉,mr道标,我偌无梦,55.2,11.4,-19.7,-46.9,250425-de8a7f22-cd85-4136-aa3f-8a00385409c4
2025.04.26,2025.04.26,昭昭木木SAMA,sengwei,卢卢猹,烨十七,59.3,10.5,-17.2,-52.6,250426-7a49a165-68f3-4a34-bcab-7125165c315c
2025.04.26,2025.04.26,小星今天吃什么,李乐逸,我想当理塘高手,muqdipitty,72.6,0.6,-25.1,-48.1,250426-4659f9c0-76f6-4895-b939-4959a6b9fc2d
2025.04.26,2025.04.26,烨十七,七千崖,昭昭木木SAMA,绫地宁宁nene,66.4,20.9,-29.7,-57.6,250426-b87f5820-bc79-473a-8d33-de0064099d16
2025.04.26,2025.04.26,幸福的勇气,把把狗运,席巴拉西,玄赤,77.1,14.0,-31.9,-59.2,250426-01a15be7-8053-4e61-a00a-e529ad7d1fd3
2025.04.27,2025.04.27,失去梦想皮皮虾,量子蝈民九折酱,箴言吶,时雨225,59.7,12.2,-13.7,-58.2,250427-3825a3d8-04e1-47d6-9ca1-7e2c8ba7e783
2025.04.27,2025.04.27,能不能放个炮,这就是郭楠,唤灵,Hastur132,58.1,11.5,-16.4,-53.2,250427-dfc92c60-5c3d-4c8f-b812-3bb0e65b7591
2025.04.27,2025.04.27,muqdipitty,洛铭轩,唤灵,昭昭木木SAMA,49.0,4.0,-16.4,-36.6,250427-47f29771-8be7-431c-92b1-38ca062bfdb0
2025.04.27,2025.04.27,南风y,箴言吶,NagatoYukki,七千崖,84.2,2.9,-21.5,-65.6,250427-cebf4e27-4e31-453b-aab9-8e9d6535fcb8
2025.04.30,2025.04.30,时雨225,Flamingo_Li,秀千代EC,烨十七,52.3,6.9,-14.9,-44.3,250430-25227104-3733-4f30-92f0-6a3bbc699e69
2025.04.30,2025.04.30,卢卢猹,把把狗运,我想当理塘高手,唤灵,53.9,10.7,-12.7,-51.9,250430-7c668e70-777f-4c39-bd7a-d588e82db3cf
2025.04.30,2025.04.30,南风y,慷忾,我偌无梦,秀千代EC,57.0,6.5,-17.9,-45.6,250430-dfe2069d-730e-4082-a45a-60151e82ec66
2025.04.30,2025.04.30,muqdipitty,席巴拉西,唤灵,卢卢猹,59.7,15.5,-7.8,-67.4,250430-a27694f3-cbb6-422b-a86a-5a5845d6c31c
2025.05.02,2025.05.02,我爱手抓肉,小星今天吃什么,mr道标,muqdipitty,58.5,11.5,-19.9,-50.1,250502-50c9e6cb-3c06-4291-9704-29f08a6f9f50
2025.05.02,2025.05.02,席巴拉西,断痕c无殇,我偌无梦,卢卢猹,61.8,16.5,-26.4,-51.9,250502-fe51be79-dc52-4e2f-851f-b92147225850
2025.05.02,2025.05.02,sengwei,李乐逸,箴言吶,lotatoJC,69.5,11.4,-15.9,-65.0,250502-465b80e0-e4e1-4231-937e-f948030d0b73
2025.05.02,2025.05.02,丿破风,我偌无梦,能不能放个炮,断痕c无殇,50.7,6.4,-14.4,-42.7,250502-a7371871-a26e-4845-9bbe-d7d7b74bc8ce
2025.05.03,2025.05.03,lotatoJC,时雨225,量子蝈民九折酱,失去梦想皮皮虾,51.6,7.8,-15.6,-43.8,250503-45dd842f-0bf6-42b1-b077-59bb264317e8
2025.05.03,2025.05.03,昭昭木木SAMA,妄谓,慷忾,席巴拉西,62.0,10.1,-20.9,-51.2,250503-ded2477d-3ca3-4348-8442-a235e46b24e1
2025.05.03,2025.05.03,妄谓,洛铭轩,Flamingo_Li,这就是郭楠,72.8,0.8,-26.0,-47.6,250503-f1342f60-840c-45be-b1f5-5d043bca97f9
2025.05.03,2025.05.03,我爱手抓肉,卢卢猹,把把狗运,NagatoYukki,98.3,-6.1,-34.0,-58.2,250503-c1e7df45-cd67-437d-8574-73ce854543a5
2025.05.04,2025.05.04,sengwei,洛铭轩,kl3000,林清雨,83.2,-3.3,-28.6,-51.3,250504-055011a8-291c-4be0-bd73-43ba42e758db
2025.05.04,2025.05.04,量子蝈民九折酱,箴言吶,我爱手抓肉,雨水磁浮2024,74.1,9.0,-28.3,-54.8,250504-64e11ae9-e97a-4a71-a994-6d2e7d6f8678
2025.05.04,2025.05.04,能不能放个炮,kl3000,唤灵,林清雨,72.6,32.0,-31.3,-73.3,250504-5fd522ef-0cca-4d13-916d-592ec1c8ca8b
2025.05.04,2025.05.04,muqdipitty,卢卢猹,南风y,慷忾,77.6,11.3,-18.8,-70.1,250504-e0b2b0e4-cda4-4ed4-be40-2d22bd6799dc
2025.05.07,2025.05.07,Flamingo_Li,丿破风,林清雨,断痕c无殇,81.7,24.1,-30.9,-74.9,250507-f096a1f5-d2a7-4b77-959c-d1f8800f0839
2025.05.07,2025.05.07,玄赤,lotatoJC,洛铭轩,mr道标,82.0,16.2,-36.3,-61.9,250507-2ec0e49c-d0e4-43ab-8a96-b55f48257365
2025.05.07,2025.05.07,量子蝈民九折酱,这就是郭楠,小星今天吃什么,林清雨,66.9,18.7,-12.7,-72.9,250507-cc4e6730-6948-486f-b095-ae569929d8c7
2025.05.07,2025.05.07,平地摔的saki,我爱手抓肉,雨水磁浮2024,绫地宁宁nene,74.0,24.7,-23.7,-75.0,250507-3554af9a-68dd-4e60-a74b-fbe26f082e8f
2025.05.09,2025.05.09,kl3000,lotatoJC,我偌无梦,一只亚亚亚,64.5,7.4,-21.5,-50.4,250509-4a7b0725-73f6-44de-9778-5b1fa4ca3a90
2025.05.09,2025.05.09,我爱手抓肉,慷忾,我想当理塘高手,绫地宁宁nene,72.6,8.5,-28.4,-52.7,250509-778c5cb9-0aa8-446f-b3fb-9b407f937792
2025.05.09,2025.05.09,kl3000,Hastur132,我偌无梦,丿破风,71.1,13.2,-29.0,-55.3,250509-475937e7-f6a7-4ca5-8171-4b6c7ea10099
2025.05.09,2025.05.09,箴言吶,sengwei,南风y,能不能放个炮,76.6,0.0,-25.4,-51.2,250509-9755e476-aae8-4c12-ba90-b27e292427d1
2025.05.10,2025.05.10,时雨225,七千崖,唤灵,席巴拉西,69.6,-0.2,-23.2,-46.2,250510-05e9e24c-4a2f-497e-844b-ab8750829e60
2025.05.10,2025.05.10,昭昭木木SAMA,muqdipitty,幸福的勇气,失去梦想皮皮虾,60.9,17.7,-24.9,-53.7,250510-8daf1ee7-2e10-4efd-b942-d2f8ad66ad11
2025.05.10,2025.05.10,南风y,七千崖,唤灵,平地摔的saki,63.3,9.5,-12.1,-60.7,250510-2a9deaa3-76b7-4148-a5ae-cbc51c63d8e2
2025.05.10,2025.05.10,失去梦想皮皮虾,这就是郭楠,把把狗运,幸福的勇气,81.2,32.1,-31.2,-82.1,250510-e1998cb9-c427-45fd-8408-4988e71b72d0
2025.05.11,2025.05.11,把把狗运,洛铭轩,烨十七,一只亚亚亚,74.5,4.3,-22.9,-55.9,250511-d32de22c-18ec-4549-ba1d-909541aa21f5
2025.05.11,2025.05.11,秀千代EC,玄赤,箴言吶,妄谓,58.4,7.4,-13.4,-52.4,250511-81bba713-6be3-4b5d-aa86-d11680d40663
2025.05.11,2025.05.11,丿破风,lotatoJC,我偌无梦,能不能放个炮,59.7,10.3,-21.1,-48.9,250511-760e24b4-96b9-4da3-aab4-82a251e72676
2025.05.11,2025.05.11,我爱手抓肉,秀千代EC,妄谓,小星今天吃什么,66.2,0.7,-20.2,-46.7,250511-e472b155-70b8-42ab-828e-74bfef1250d5
2025.05.14,2025.05.14,林清雨,卢卢猹,唤灵,幸福的勇气,60.3,10.6,-16.6,-54.3,250514-4a07c5a5-9723-4f25-a082-0367093e9737
2025.05.14,2025.05.14,席巴拉西,断痕c无殇,时雨225,lotatoJC,56.9,14.0,-12.3,-58.6,250514-d393912d-a89e-4a8a-a2d5-84dec7ec6b74
2025.05.14,2025.05.14,量子蝈民九折酱,林清雨,唤灵,小星今天吃什么,81.3,15.6,-32.3,-64.6,250514-3e9b4486-f35f-408f-b4da-d225d634f1ba
2025.05.14,2025.05.14,李乐逸,我想当理塘高手,断痕c无殇,雨水磁浮2024,78.3,11.2,-16.3,-73.2,250514-f75a8ca4-c5e2-4180-a261-7bcec34bc95c
2025.05.16,2025.05.16,我偌无梦,能不能放个炮,Flamingo_Li,kl3000,73.7,12.7,-27.2,-59.2,250516-2f3204c2-3b88-4054-a419-c817559fcbd6
2025.05.16,2025.05.16,玄赤,量子蝈民九折酱,绫地宁宁nene,雨水磁浮2024,65.8,14.9,-13.8,-66.9,250516-740c3fec-10f0-46ef-a9c5-e06669906709
2025.05.16,2025.05.16,我偌无梦,洛铭轩,kl3000,Flamingo_Li,64.0,6.1,-24.0,-46.1,250516-1c31e215-c4df-4181-afd1-becfb8fedb39
2025.05.16,2025.05.16,sengwei,南风y,丿破风,lotatoJC,57.2,5.0,-20.8,-41.4,250516-c76ac058-37e7-444d-987c-f829606d5cc1
2025.05.17,2025.05.17,sengwei,烨十七,Hastur132,小星今天吃什么,72.2,2.5,-19.9,-54.8,250517-704e68d3-aec2-4ae0-b122-8f0a8bb52bc0
2025.05.17,2025.05.17,断痕c无殇,丿破风,玄赤,席巴拉西,51.3,10.4,-12.4,-49.3,250517-d6a43c7d-d34d-4da4-b830-ec666418c6e1
2025.05.17,2025.05.17,卢卢猹,平地摔的saki,我爱手抓肉,断痕c无殇,62.9,7.5,-16.6,-53.8,250517-dbeb16ca-ea08-4efd-b280-1c444c030377
2025.05.17,2025.05.17,烨十七,小星今天吃什么,唤灵,Hastur132,68.9,12.6,-22.8,-58.7,250517-f13a3c4e-ae76-4613-9a22-6e6822fe88ee
2025.05.19,2025.05.19,玄赤,muqdipitty,sengwei,这就是郭楠,54.0,10.3,-11.5,-52.8,250518-fc690423-2147-46f9-8f82-41993386058f
2025.05.19,2025.05.19,烨十七,七千崖,我想当理塘高手,慷忾,60.7,17.8,-15.8,-62.7,250518-ecfd3093-4921-4019-bc01-5f63b4afd7a5
2025.05.19,2025.05.19,muqdipitty,这就是郭楠,我爱手抓肉,mr道标,64.1,14.2,-17.7,-60.6,250518-f62cc347-2a04-4928-846c-8db9e9a0ba35
2025.05.19,2025.05.19,我想当理塘高手,烨十七,慷忾,一只亚亚亚,55.6,15.5,-13.7,-57.4,250518-fdfd95c7-98e3-447e-b031-6299c95d2253
2025.05.21,2025.05.21,把把狗运,林清雨,量子蝈民九折酱,Flamingo_Li,77.1,11.0,-31.4,-56.7,250521-9df1c3a4-0c9c-4b07-867f-d0452d9c3786
2025.05.21,2025.05.21,能不能放个炮,我爱手抓肉,秀千代EC,妄谓,64.8,5.1,-19.7,-50.2,250521-c3e0aeeb-ac3b-4524-a98f-917ea2480c84
2025.05.21,2025.05.21,箴言吶,烨十七,量子蝈民九折酱,lotatoJC,81.1,28.7,-35.0,-74.8,250521-3a8531ef-778b-4a2f-83d5-07ff8e1fa82a
2025.05.21,2025.05.21,南风y,能不能放个炮,妄谓,秀千代EC,73.6,11.6,-14.5,-70.7,250521-63d2ef8f-56ad-4e2d-be71-d0ce1f80ac93
2025.05.23,2025.05.23,我爱手抓肉,kl3000,一只亚亚亚,小星今天吃什么,59.7,10.4,-15.3,-54.8,250523-bb40b6c2-9c18-4fcb-8b9c-c02e9a09a8da
2025.05.23,2025.05.23,mr道标,洛铭轩,林清雨,muqdipitty,70.3,22.1,-10.6,-81.8,250523-baf3e618-c637-49d2-86d0-8e90304c3757
2025.05.23,2025.05.23,mr道标,失去梦想皮皮虾,洛铭轩,把把狗运,70.8,13.6,-26.0,-58.4,250523-800b8bd2-35de-4dd8-90c9-9224cb43b3a9
2025.05.23,2025.05.23,kl3000,小星今天吃什么,丿破风,南风y,59.5,7.8,-12.6,-54.7,250523-7e4d1534-312d-4a8d-b57e-61618ed42d4e
2025.05.24,2025.05.24,慷忾,时雨225,kl3000,雨水磁浮2024,53.5,6.4,-18.2,-41.7,250524-4c290c7f-0a4c-4bcb-b2d6-551829909674
2025.05.24,2025.05.24,妄谓,平地摔的saki,卢卢猹,失去梦想皮皮虾,58.8,11.3,-21.8,-48.3,250524-78e7799b-46cb-4bb5-b10f-ae6a4d221031
2025.05.24,2025.05.24,雨水磁浮2024,慷忾,昭昭木木SAMA,我爱手抓肉,57.6,16.0,-23.3,-50.3,250524-d9b997fb-b2b8-4fd2-838e-64ba49f95027
2025.05.24,2025.05.24,妄谓,平地摔的saki,烨十七,一只亚亚亚,72.6,14.3,-14.0,-72.9,250524-180298bf-3192-49e2-ab59-2d30afd2bac0
2025.05.25,2025.05.25,玄赤,我偌无梦,绫地宁宁nene,幸福的勇气,57.3,10.8,-15.6,-52.5,250525-9c9eb50b-5030-4da0-abe5-deba075ec774
2025.05.25,2025.05.25,席巴拉西,雨水磁浮2024,这就是郭楠,七千崖,53.6,12.7,-18.9,-47.4,250525-27dac6c4-8e69-42c3-9e3f-eb83bcea14ac
